id_cliente,persona,engajamento,compras_60_dias,proba
cli_0065,vinho_final_do_dia,67.5,42.0,0.27
cli_0066,esporadico,5.3,0.0,0.12
cli_0067,unknown,29.8,0.0,0.13
cli_0068,vinho_final_do_dia,26.1,0.0,0.16
cli_0069,vinho_final_do_dia,0.3,0.0,0.1
cli_0070,unknown,72.5,56.0,0.24
cli_0071,vinho_final_do_dia,1.3,0.0,0.1
cli_0072,unknown,4.2,0.0,0.06
cli_0073,esporadico,73.2,131.0,0.31
cli_0074,esporadico,3.0,0.0,0.11
cli_0075,vinho_final_do_dia,0.0,0.0,0.09
cli_0076,esporadico,15.1,0.0,0.14
cli_0077,vinho_final_do_dia,4.4,0.0,0.11
cli_0078,esporadico,93.8,47.0,0.35
cli_0079,esporadico,53.9,149.0,0.26
cli_0080,esporadico,25.7,159.0,0.18
cli_0081,vinho_final_do_dia,84.3,13.0,0.32
cli_0082,unknown,58.7,16.0,0.2
cli_0083,unknown,90.2,137.0,0.29
cli_0084,unknown,5.7,0.0,0.06
cli_0085,esporadico,97.8,165.0,0.37
cli_0086,vinho_final_do_dia,9.1,0.0,0.12
cli_0087,unknown,0.3,0.0,0.05
cli_0088,esporadico,52.9,89.0,0.25
cli_0089,unknown,10.2,0.0,0.07
cli_0090,esporadico,3.2,0.0,0.11
cli_0091,unknown,36.7,99.0,0.15
cli_0092,vinho_final_do_dia,73.5,129.0,0.3
cli_0093,vinho_final_do_dia,17.4,0.0,0.14
cli_0094,unknown,50.2,129.0,0.19
cli_0095,vinho_final_do_dia,50.8,89.0,0.23
cli_0096,unknown,6.2,0.0,0.06
cli_0097,vinho_final_do_dia,88.3,38.0,0.33
cli_0098,vinho_final_do_dia,63.4,99.0,0.27
cli_0099,unknown,2.7,129.0,0.06
cli_0100,esporadico,1.9,149.0,0.12
cli_0101,unknown,81.3,21.0,0.26
cli_0102,unknown,1.1,0.0,0.05
cli_0103,churrasco_fds,85.5,36.0,0.45
cli_0104,churrasco_fds,3.8,129.0,0.24
cli_0105,unknown,94.9,23.0,0.3
cli_0106,esporadico,0.6,0.0,0.11
cli_0107,esporadico,12.5,0.0,0.14
cli_0108,churrasco_fds,83.7,53.0,0.45
cli_0109,unknown,75.4,75.0,0.25
cli_0110,esporadico,5.3,0.0,0.12
cli_0111,unknown,4.5,0.0,0.06
cli_0112,unknown,14.3,0.0,0.09
cli_0113,unknown,72.7,43.0,0.24
cli_0114,unknown,7.7,0.0,0.07
cli_0115,unknown,7.8,0.0,0.07
cli_0116,esporadico,15.9,0.0,0.15
cli_0117,esporadico,12.1,0.0,0.14
cli_0118,unknown,6.2,0.0,0.06
cli_0119,unknown,35.9,0.0,0.14
cli_0120,vinho_final_do_dia,3.4,0.0,0.1
cli_0121,unknown,15.3,0.0,0.09
cli_0122,esporadico,88.1,6.0,0.34
cli_0123,esporadico,9.5,0.0,0.13
cli_0124,unknown,5.5,89.0,0.07
cli_0125,vinho_final_do_dia,26.9,0.0,0.17
cli_0126,esporadico,61.9,28.0,0.27
cli_0127,esporadico,3.1,99.0,0.12
cli_0128,vinho_final_do_dia,34.8,0.0,0.19
cli_0129,unknown,51.3,99.0,0.19
cli_0130,esporadico,59.3,159.0,0.27
cli_0131,unknown,15.2,0.0,0.09
cli_0132,unknown,85.4,101.0,0.28
cli_0133,churrasco_fds,41.5,159.0,0.34
cli_0134,esporadico,22.4,0.0,0.16
cli_0135,churrasco_fds,13.5,0.0,0.26
cli_0136,esporadico,17.7,0.0,0.15
cli_0137,unknown,6.8,0.0,0.07
cli_0138,unknown,3.4,0.0,0.06
cli_0139,unknown,17.9,0.0,0.09
cli_0140,unknown,22.3,0.0,0.11
cli_0141,unknown,78.5,33.0,0.26
cli_0142,churrasco_fds,26.5,149.0,0.3
cli_0143,esporadico,0.8,0.0,0.11
cli_0144,unknown,0.2,0.0,0.05
cli_0145,churrasco_fds,94.7,160.0,0.48
cli_0146,unknown,6.8,0.0,0.07
cli_0147,vinho_final_do_dia,18.3,0.0,0.14
cli_0148,esporadico,65.2,129.0,0.28
cli_0149,unknown,23.1,0.0,0.11
cli_0150,unknown,30.4,0.0,0.13
cli_0151,unknown,19.8,0.0,0.1
cli_0152,esporadico,6.4,0.0,0.12
cli_0153,esporadico,0.5,0.0,0.11
cli_0154,unknown,32.6,129.0,0.14
cli_0155,unknown,32.8,149.0,0.14
cli_0156,unknown,0.0,0.0,0.05
cli_0157,vinho_final_do_dia,25.8,159.0,0.17
cli_0158,unknown,3.9,0.0,0.06
cli_0159,churrasco_fds,76.8,43.0,0.43
cli_0160,unknown,13.3,0.0,0.08
cli_0161,esporadico,8.0,0.0,0.13
cli_0162,churrasco_fds,3.3,0.0,0.23
cli_0163,unknown,9.5,0.0,0.07
cli_0164,esporadico,23.2,0.0,0.17
cli_0165,churrasco_fds,46.8,199.0,0.36
cli_0166,unknown,83.4,83.0,0.27
cli_0167,unknown,5.4,0.0,0.06
cli_0168,unknown,85.4,70.0,0.28
cli_0169,unknown,3.8,0.0,0.06
cli_0170,churrasco_fds,15.3,0.0,0.26
cli_0171,churrasco_fds,59.2,149.0,0.39
cli_0172,vinho_final_do_dia,4.6,0.0,0.11
cli_0173,unknown,6.9,0.0,0.07
cli_0174,esporadico,20.9,0.0,0.16
cli_0175,unknown,13.4,0.0,0.08
cli_0176,unknown,9.3,129.0,0.08
cli_0177,vinho_final_do_dia,1.0,0.0,0.1
cli_0178,esporadico,8.1,0.0,0.13
cli_0179,unknown,18.2,0.0,0.1
cli_0180,churrasco_fds,95.2,51.0,0.48
cli_0181,churrasco_fds,4.4,0.0,0.23
cli_0182,churrasco_fds,4.3,89.0,0.24
cli_0183,unknown,26.1,0.0,0.12
cli_0184,unknown,5.5,0.0,0.06
cli_0185,vinho_final_do_dia,95.7,5.0,0.35
cli_0186,esporadico,0.5,0.0,0.11
cli_0187,vinho_final_do_dia,6.6,0.0,0.11
cli_0188,vinho_final_do_dia,17.2,0.0,0.14
cli_0189,esporadico,18.0,0.0,0.15
cli_0190,esporadico,63.2,99.0,0.28
cli_0191,unknown,0.7,0.0,0.05
cli_0192,esporadico,25.2,99.0,0.18
cli_0193,esporadico,78.0,125.0,0.32
cli_0194,esporadico,44.9,149.0,0.23
cli_0195,unknown,17.2,0.0,0.09
cli_0196,unknown,28.1,149.0,0.13
cli_0197,churrasco_fds,10.2,0.0,0.25
cli_0198,vinho_final_do_dia,0.6,0.0,0.1
cli_0199,esporadico,8.3,0.0,0.13
cli_0200,unknown,87.9,129.0,0.29
cli_0201,esporadico,49.8,159.0,0.25
cli_0202,churrasco_fds,2.5,0.0,0.23
cli_0203,unknown,14.3,0.0,0.09
cli_0204,churrasco_fds,5.4,0.0,0.24
cli_0205,unknown,4.2,0.0,0.06
cli_0206,unknown,88.2,199.0,0.29
cli_0207,unknown,2.5,89.0,0.06
cli_0208,esporadico,29.3,0.0,0.18
cli_0209,esporadico,6.2,0.0,0.12
cli_0210,vinho_final_do_dia,5.6,0.0,0.11
cli_0211,esporadico,35.8,129.0,0.21
cli_0212,esporadico,4.3,0.0,0.12
cli_0213,esporadico,4.6,0.0,0.12
cli_0214,esporadico,8.1,0.0,0.13
cli_0215,vinho_final_do_dia,5.4,0.0,0.11
cli_0216,unknown,8.5,0.0,0.07
cli_0217,vinho_final_do_dia,4.9,0.0,0.11
cli_0218,churrasco_fds,19.1,0.0,0.27
cli_0219,unknown,7.5,0.0,0.07
cli_0220,churrasco_fds,2.3,0.0,0.23
cli_0221,unknown,65.9,50.0,0.22
cli_0222,vinho_final_do_dia,63.5,89.0,0.27
cli_0223,esporadico,3.1,0.0,0.11
cli_0224,unknown,17.4,0.0,0.09
cli_0225,unknown,2.1,159.0,0.06
cli_0226,unknown,6.6,159.0,0.08
cli_0227,churrasco_fds,0.1,0.0,0.22
cli_0228,unknown,87.2,171.0,0.29
cli_0229,vinho_final_do_dia,66.1,119.0,0.28
cli_0230,esporadico,29.8,0.0,0.18
cli_0231,vinho_final_do_dia,1.4,0.0,0.1
cli_0232,unknown,77.2,79.0,0.26
cli_0233,vinho_final_do_dia,84.4,69.0,0.32
cli_0234,unknown,6.4,0.0,0.06
cli_0235,vinho_final_do_dia,3.4,0.0,0.1
cli_0236,vinho_final_do_dia,0.8,0.0,0.1
cli_0237,unknown,9.4,0.0,0.07
cli_0238,unknown,0.7,0.0,0.05
cli_0239,unknown,12.7,0.0,0.08
cli_0240,unknown,12.3,0.0,0.08
cli_0241,vinho_final_do_dia,4.9,0.0,0.11
cli_0242,esporadico,49.1,0.0,0.23
cli_0243,esporadico,4.0,0.0,0.12
cli_0244,unknown,9.6,0.0,0.07
cli_0245,unknown,12.6,0.0,0.08
cli_0246,esporadico,0.8,0.0,0.11
cli_0247,esporadico,3.3,0.0,0.11
cli_0248,churrasco_fds,78.2,74.0,0.43
cli_0249,unknown,5.4,0.0,0.06
cli_0250,unknown,81.1,94.0,0.27
cli_0251,unknown,4.4,0.0,0.06
cli_0252,unknown,5.4,0.0,0.06
cli_0253,unknown,56.4,159.0,0.21
cli_0254,unknown,4.2,0.0,0.06
cli_0255,unknown,4.0,0.0,0.06
cli_0256,churrasco_fds,76.7,84.0,0.43
cli_0257,vinho_final_do_dia,17.4,0.0,0.14
cli_0258,vinho_final_do_dia,15.4,0.0,0.13
cli_0259,vinho_final_do_dia,0.1,129.0,0.1
cli_0260,vinho_final_do_dia,5.3,0.0,0.11
cli_0261,unknown,14.6,0.0,0.09
cli_0262,unknown,63.6,199.0,0.23
cli_0263,unknown,6.1,0.0,0.06
cli_0264,esporadico,87.0,110.0,0.34
cli_0265,vinho_final_do_dia,24.7,0.0,0.16
cli_0266,unknown,1.1,0.0,0.05
cli_0267,unknown,6.9,0.0,0.07
cli_0268,unknown,69.1,20.0,0.23
cli_0269,unknown,90.6,122.0,0.29
cli_0270,churrasco_fds,4.8,0.0,0.24
cli_0271,esporadico,2.1,0.0,0.11
cli_0272,unknown,35.2,149.0,0.15
cli_0273,unknown,2.9,0.0,0.06
cli_0274,unknown,13.1,0.0,0.08
cli_0275,esporadico,15.1,0.0,0.14
cli_0276,unknown,7.3,89.0,0.07
cli_0277,churrasco_fds,47.3,99.0,0.35
cli_0278,unknown,9.2,0.0,0.07
cli_0279,unknown,7.1,0.0,0.07
cli_0280,unknown,59.1,149.0,0.21
cli_0281,unknown,86.4,65.0,0.28
cli_0282,churrasco_fds,0.5,0.0,0.22
cli_0283,unknown,7.8,129.0,0.08
cli_0284,esporadico,22.8,129.0,0.17
cli_0285,esporadico,13.2,0.0,0.14
cli_0286,vinho_final_do_dia,5.6,0.0,0.11
cli_0287,esporadico,3.2,0.0,0.11
cli_0288,vinho_final_do_dia,94.1,49.0,0.35
cli_0289,esporadico,3.2,0.0,0.11
cli_0290,vinho_final_do_dia,3.7,0.0,0.1
cli_0291,unknown,91.9,119.0,0.3
cli_0292,unknown,12.3,0.0,0.08
cli_0293,unknown,11.1,0.0,0.08
cli_0294,esporadico,75.5,94.0,0.31
cli_0295,unknown,59.9,163.0,0.22
cli_0296,esporadico,65.0,159.0,0.29
cli_0297,esporadico,84.9,45.0,0.33
cli_0298,esporadico,0.9,0.0,0.11
cli_0299,esporadico,85.5,77.0,0.33
cli_0300,unknown,7.1,0.0,0.07
cli_0301,unknown,19.9,0.0,0.1
cli_0302,esporadico,4.5,0.0,0.12
cli_0303,unknown,10.3,0.0,0.07
cli_0304,unknown,7.9,0.0,0.07
cli_0305,esporadico,35.6,149.0,0.21
cli_0306,unknown,46.1,99.0,0.18
cli_0307,unknown,0.4,0.0,0.05
cli_0308,churrasco_fds,37.3,0.0,0.32
cli_0309,esporadico,15.4,129.0,0.15
cli_0310,esporadico,18.0,0.0,0.15
cli_0311,churrasco_fds,6.5,0.0,0.24
cli_0312,churrasco_fds,4.4,0.0,0.23
cli_0313,unknown,80.8,21.0,0.26
cli_0314,vinho_final_do_dia,22.9,0.0,0.15
cli_0315,esporadico,7.9,0.0,0.13
cli_0316,esporadico,15.4,0.0,0.15
cli_0317,unknown,1.3,0.0,0.05
cli_0318,unknown,88.0,168.0,0.29
cli_0319,churrasco_fds,4.1,129.0,0.24
cli_0320,esporadico,44.8,149.0,0.23
cli_0321,esporadico,88.6,58.0,0.34
cli_0322,unknown,17.9,0.0,0.09
cli_0323,vinho_final_do_dia,1.7,0.0,0.1
cli_0324,unknown,8.6,0.0,0.07
cli_0325,vinho_final_do_dia,25.2,0.0,0.16
cli_0326,esporadico,9.7,0.0,0.13
cli_0327,churrasco_fds,2.1,0.0,0.23
cli_0328,unknown,0.3,0.0,0.05
cli_0329,churrasco_fds,6.7,0.0,0.24
cli_0330,churrasco_fds,9.6,0.0,0.25
cli_0331,unknown,7.8,0.0,0.07
cli_0332,unknown,3.6,0.0,0.06
cli_0333,unknown,7.4,0.0,0.07
cli_0334,vinho_final_do_dia,71.9,129.0,0.29
cli_0335,unknown,4.6,0.0,0.06
cli_0336,unknown,44.2,149.0,0.17
cli_0337,unknown,58.8,119.0,0.21
cli_0338,unknown,77.8,164.0,0.26
cli_0339,esporadico,89.6,90.0,0.35
cli_0340,vinho_final_do_dia,7.7,0.0,0.11
cli_0341,esporadico,78.0,159.0,0.32
cli_0342,esporadico,5.7,0.0,0.12
cli_0343,esporadico,94.5,0.0,0.35
cli_0344,unknown,5.7,0.0,0.06
cli_0345,esporadico,27.8,0.0,0.18
cli_0346,unknown,7.0,0.0,0.07
cli_0347,unknown,48.7,199.0,0.19
cli_0348,unknown,19.5,0.0,0.1
cli_0349,esporadico,91.6,78.0,0.35
cli_0350,unknown,25.8,0.0,0.12
cli_0351,esporadico,3.2,0.0,0.11
cli_0352,unknown,27.3,0.0,0.12
cli_0353,vinho_final_do_dia,12.8,0.0,0.13
cli_0354,esporadico,77.0,62.0,0.31
cli_0355,esporadico,79.6,0.0,0.31
cli_0356,esporadico,31.7,99.0,0.19
cli_0357,unknown,4.5,0.0,0.06
cli_0358,churrasco_fds,19.7,0.0,0.27
cli_0359,vinho_final_do_dia,48.2,89.0,0.23
cli_0360,vinho_final_do_dia,8.6,0.0,0.12
cli_0361,vinho_final_do_dia,1.4,0.0,0.1
cli_0362,unknown,2.1,0.0,0.05
cli_0363,esporadico,75.8,67.0,0.31
cli_0364,unknown,12.1,0.0,0.08
cli_0365,esporadico,76.7,109.0,0.31
cli_0366,unknown,0.8,0.0,0.05
cli_0367,churrasco_fds,2.0,119.0,0.24
cli_0368,esporadico,2.3,0.0,0.11
cli_0369,esporadico,66.5,129.0,0.29
cli_0370,churrasco_fds,16.8,0.0,0.27
cli_0371,esporadico,6.2,0.0,0.12
cli_0372,unknown,5.4,0.0,0.06
cli_0373,churrasco_fds,85.9,51.0,0.45
cli_0374,esporadico,10.8,0.0,0.13
cli_0375,unknown,9.2,0.0,0.07
cli_0376,vinho_final_do_dia,78.0,30.0,0.3
cli_0377,esporadico,15.4,0.0,0.15
cli_0378,esporadico,39.0,129.0,0.22
cli_0379,esporadico,86.3,30.0,0.33
cli_0380,esporadico,5.3,0.0,0.12
cli_0381,esporadico,4.2,0.0,0.12
cli_0382,esporadico,3.8,0.0,0.11
cli_0383,vinho_final_do_dia,13.6,149.0,0.14
cli_0384,churrasco_fds,2.5,0.0,0.23
cli_0385,vinho_final_do_dia,5.9,0.0,0.11
cli_0386,churrasco_fds,21.2,0.0,0.28
cli_0387,esporadico,1.2,0.0,0.11
cli_0388,esporadico,5.1,0.0,0.12
cli_0389,vinho_final_do_dia,77.9,4.0,0.3
cli_0390,unknown,51.0,199.0,0.19
cli_0391,vinho_final_do_dia,43.0,99.0,0.21
cli_0392,unknown,87.8,199.0,0.29
cli_0393,churrasco_fds,26.0,149.0,0.3
cli_0394,unknown,60.2,91.0,0.21
cli_0395,unknown,75.0,40.0,0.25
cli_0396,churrasco_fds,2.6,0.0,0.23
cli_0397,esporadico,78.0,35.0,0.31
cli_0398,vinho_final_do_dia,2.5,0.0,0.1
cli_0399,unknown,37.1,159.0,0.16
cli_0400,unknown,7.9,0.0,0.07
cli_0401,vinho_final_do_dia,37.1,119.0,0.2
cli_0402,unknown,3.4,89.0,0.06
cli_0403,esporadico,1.9,0.0,0.11
cli_0404,vinho_final_do_dia,69.2,1.0,0.28
cli_0405,unknown,19.6,0.0,0.1
cli_0406,unknown,0.8,0.0,0.05
cli_0407,vinho_final_do_dia,19.7,0.0,0.15
cli_0408,esporadico,12.5,0.0,0.14
cli_0409,unknown,16.2,0.0,0.09
cli_0410,unknown,69.2,92.0,0.24
cli_0411,vinho_final_do_dia,4.2,0.0,0.11
cli_0412,unknown,13.0,0.0,0.08
cli_0413,unknown,20.6,0.0,0.1
cli_0414,vinho_final_do_dia,0.7,0.0,0.1
cli_0415,vinho_final_do_dia,34.4,89.0,0.19
cli_0416,unknown,17.5,89.0,0.1
cli_0417,unknown,27.3,0.0,0.12
cli_0418,vinho_final_do_dia,5.4,0.0,0.11
cli_0419,esporadico,12.6,0.0,0.14
cli_0420,unknown,7.3,0.0,0.07
cli_0421,churrasco_fds,9.7,0.0,0.25
cli_0422,unknown,1.9,0.0,0.05
cli_0423,unknown,12.4,0.0,0.08
cli_0424,churrasco_fds,9.4,159.0,0.26
cli_0425,unknown,3.6,0.0,0.06
cli_0426,unknown,4.5,0.0,0.06
cli_0427,vinho_final_do_dia,4.4,0.0,0.11
cli_0428,esporadico,15.5,0.0,0.15
cli_0429,unknown,7.9,0.0,0.07
cli_0430,esporadico,85.5,24.0,0.33
cli_0431,unknown,60.1,199.0,0.22
cli_0432,unknown,18.6,0.0,0.1
cli_0433,unknown,48.2,119.0,0.18
cli_0434,esporadico,2.7,0.0,0.11
cli_0435,unknown,1.6,0.0,0.05
cli_0436,unknown,4.7,0.0,0.06
cli_0437,vinho_final_do_dia,67.7,136.0,0.28
cli_0438,esporadico,4.9,0.0,0.12
cli_0439,churrasco_fds,33.3,0.0,0.31
cli_0440,vinho_final_do_dia,12.6,0.0,0.13
cli_0441,unknown,87.1,179.0,0.29
cli_0442,unknown,70.9,129.0,0.24
cli_0443,unknown,82.1,70.0,0.27
cli_0444,unknown,14.3,0.0,0.09
cli_0445,vinho_final_do_dia,12.0,0.0,0.13
cli_0446,vinho_final_do_dia,7.6,0.0,0.11
cli_0447,vinho_final_do_dia,9.8,0.0,0.12
cli_0448,churrasco_fds,0.7,0.0,0.22
cli_0449,esporadico,2.1,0.0,0.11
cli_0450,esporadico,3.7,0.0,0.11
cli_0451,vinho_final_do_dia,1.9,0.0,0.1
cli_0452,churrasco_fds,24.1,0.0,0.29
cli_0453,esporadico,12.6,0.0,0.14
cli_0454,esporadico,1.7,0.0,0.11
cli_0455,vinho_final_do_dia,8.9,0.0,0.12
cli_0456,unknown,16.8,0.0,0.09
cli_0457,unknown,19.2,0.0,0.1
cli_0458,churrasco_fds,33.9,0.0,0.31
cli_0459,unknown,4.0,0.0,0.06
cli_0460,vinho_final_do_dia,8.7,0.0,0.12
cli_0461,churrasco_fds,30.4,0.0,0.3
cli_0462,esporadico,7.2,0.0,0.12
cli_0463,unknown,29.0,159.0,0.13
cli_0464,churrasco_fds,21.0,99.0,0.28
cli_0465,vinho_final_do_dia,7.2,0.0,0.11
cli_0466,churrasco_fds,80.6,65.0,0.44
cli_0467,churrasco_fds,6.5,0.0,0.24
cli_0468,esporadico,78.8,99.0,0.32
cli_0469,unknown,8.3,0.0,0.07
cli_0470,unknown,74.1,99.0,0.25
cli_0471,unknown,5.8,0.0,0.06
cli_0472,esporadico,94.4,28.0,0.35
cli_0473,unknown,15.1,159.0,0.1
cli_0474,unknown,1.2,0.0,0.05
cli_0475,vinho_final_do_dia,6.1,0.0,0.11
cli_0476,unknown,3.9,0.0,0.06
cli_0477,unknown,77.3,110.0,0.26
cli_0478,unknown,45.9,149.0,0.18
cli_0479,unknown,2.0,0.0,0.05
cli_0480,churrasco_fds,88.4,136.0,0.46
cli_0481,esporadico,1.3,0.0,0.11
cli_0482,esporadico,25.1,89.0,0.18
cli_0483,unknown,53.4,159.0,0.2
cli_0484,esporadico,2.3,0.0,0.11
cli_0485,esporadico,20.2,0.0,0.16
cli_0486,churrasco_fds,84.6,199.0,0.46
cli_0487,unknown,25.2,0.0,0.11
cli_0488,esporadico,78.4,149.0,0.32
cli_0489,esporadico,3.6,149.0,0.12
cli_0490,esporadico,1.1,0.0,0.11
cli_0491,vinho_final_do_dia,70.8,159.0,0.29
cli_0492,unknown,4.2,0.0,0.06
cli_0493,unknown,16.8,0.0,0.09
cli_0494,unknown,1.6,0.0,0.05
cli_0495,vinho_final_do_dia,13.8,0.0,0.13
cli_0496,churrasco_fds,6.9,0.0,0.24
cli_0497,esporadico,0.3,0.0,0.11
cli_0498,unknown,4.8,129.0,0.07
cli_0499,unknown,9.2,0.0,0.07
cli_0500,churrasco_fds,1.6,0.0,0.23
cli_0501,churrasco_fds,8.4,0.0,0.24
cli_0502,vinho_final_do_dia,5.4,129.0,0.12
cli_0503,esporadico,8.8,0.0,0.13
cli_0504,unknown,3.4,0.0,0.06
cli_0505,unknown,0.7,0.0,0.05
cli_0506,unknown,6.1,0.0,0.06
cli_0507,unknown,10.7,0.0,0.08
cli_0508,esporadico,65.5,88.0,0.28
cli_0509,esporadico,83.1,15.0,0.32
cli_0510,unknown,1.0,0.0,0.05
cli_0511,churrasco_fds,8.0,0.0,0.24
cli_0512,esporadico,6.4,0.0,0.12
cli_0513,churrasco_fds,13.0,0.0,0.26
cli_0514,esporadico,8.4,0.0,0.13
cli_0515,unknown,6.4,0.0,0.06
cli_0516,unknown,6.9,0.0,0.07
cli_0517,vinho_final_do_dia,8.0,0.0,0.12
cli_0518,esporadico,1.3,0.0,0.11
cli_0519,esporadico,4.6,0.0,0.12
cli_0520,esporadico,2.9,0.0,0.11
cli_0521,churrasco_fds,5.4,0.0,0.24
cli_0522,unknown,2.1,0.0,0.05
cli_0523,unknown,51.5,99.0,0.19
cli_0524,churrasco_fds,2.4,0.0,0.23
cli_0525,unknown,10.3,0.0,0.07
cli_0526,esporadico,15.5,0.0,0.15
cli_0527,unknown,50.1,99.0,0.19
cli_0528,unknown,97.4,48.0,0.31
cli_0529,vinho_final_do_dia,13.7,89.0,0.14
cli_0530,esporadico,8.7,0.0,0.13
cli_0531,unknown,54.3,159.0,0.2
cli_0532,unknown,4.9,0.0,0.06
cli_0533,unknown,8.3,0.0,0.07
cli_0534,esporadico,3.4,159.0,0.12
cli_0535,esporadico,15.7,0.0,0.15
cli_0536,unknown,3.4,0.0,0.06
cli_0537,churrasco_fds,12.0,0.0,0.25
cli_0538,unknown,3.4,0.0,0.06
cli_0539,unknown,2.1,0.0,0.05
cli_0540,unknown,61.8,129.0,0.22
cli_0541,esporadico,4.3,159.0,0.13
cli_0542,unknown,85.4,93.0,0.28
cli_0543,unknown,82.2,30.0,0.27
cli_0544,esporadico,8.3,0.0,0.13
cli_0545,unknown,22.0,0.0,0.11
cli_0546,vinho_final_do_dia,6.9,0.0,0.11
cli_0547,vinho_final_do_dia,3.7,0.0,0.1
cli_0548,unknown,21.9,119.0,0.11
cli_0549,churrasco_fds,3.4,0.0,0.23
cli_0550,esporadico,11.5,0.0,0.13
cli_0551,vinho_final_do_dia,2.6,0.0,0.1
cli_0552,unknown,79.2,122.0,0.26
cli_0553,unknown,94.0,123.0,0.3
cli_0554,unknown,84.5,99.0,0.28
cli_0555,unknown,0.7,0.0,0.05
cli_0556,unknown,56.5,89.0,0.2
cli_0557,churrasco_fds,57.2,159.0,0.38
cli_0558,esporadico,4.6,0.0,0.12
cli_0559,vinho_final_do_dia,16.1,0.0,0.14
cli_0560,unknown,10.1,0.0,0.07
cli_0561,unknown,11.7,0.0,0.08
cli_0562,esporadico,9.9,0.0,0.13
cli_0563,unknown,3.1,0.0,0.06
cli_0564,esporadico,81.9,89.0,0.33
cli_0565,esporadico,30.3,0.0,0.18
cli_0566,unknown,7.3,99.0,0.07
cli_0567,esporadico,2.6,0.0,0.11
cli_0568,esporadico,5.5,0.0,0.12
cli_0569,esporadico,8.2,0.0,0.13
cli_0570,vinho_final_do_dia,11.2,0.0,0.12
cli_0571,vinho_final_do_dia,6.8,0.0,0.11
cli_0572,esporadico,5.3,0.0,0.12
cli_0573,churrasco_fds,90.7,171.0,0.47
cli_0574,vinho_final_do_dia,1.9,0.0,0.1
cli_0575,unknown,66.3,149.0,0.23
cli_0576,esporadico,83.5,104.0,0.33
cli_0577,churrasco_fds,83.4,2.0,0.44
cli_0578,unknown,6.9,0.0,0.07
cli_0579,esporadico,2.4,0.0,0.11
cli_0580,esporadico,15.3,0.0,0.14
cli_0581,vinho_final_do_dia,7.0,149.0,0.12
cli_0582,esporadico,89.1,15.0,0.34
